Species,Age,Wing,Weight,Culmen,Hallux,Tail
CH,A,169,640,16.7,23.6,233
SS,I,168,100,10.5,10.7,135
SS,A,168,105,10.7,11.6,134
CH,A,223,390,15.9,20.6,181
RT,I,375,1030,26.9,31.3,217
RT,A,406,1290,29.3,33.3,227
RT,I,386,1020,26.9,31.6,230
SS,A,160,105,9.9,11.4,136
RT,I,378,1055,26.5,29.9,217
SS,A,193,185,12.3,14.8,154
RT,I,379,1010,25,29.3,216
RT,I,364,1015,24.9,29.5,215
RT,A,350,1115,29.5,30.3,199
RT,I,380,1320,26.7,31.6,210
RT,A,395,1180,30.3,33.4,217
RT,I,372,1145,25.9,32.2,212
RT,I,376,995,28,30.2,223
RT,I,367,1045,26.1,30.5,215
CH,I,230,340,16,19.5,196
RT,I,366,935,25.7,27.1,218
RT,I,386,1065,26.1,31,221
RT,I,375,1110,27.7,31.3,215
SS,I,199,190,12,15.2,163
RT,A,405,1255,27.9,31.8,218
RT,A,371,1015,24.9,28.4,204
SS,I,193,190,12.2,15.2,151
RT,I,350,960,26.6,29.9,218
SS,I,193,200,11.3,13.5,155
RT,A,368,1090,27.3,30.4,216
SS,I,185,170,12,14.7,156
RT,I,372,1085,25.4,29.8,220
RT,I,396,1065,27.7,30,230
RT,I,365,1125,26.9,29.3,213
RT,I,374,1050,25.5,30.3,220
CH,I,253,525,19.5,23.5,213
RT,I,372,980,26.4,29,215
RT,I,376,1180,24.4,30.7,214
SS,I,166,115,9.9,11.6,136
RT,I,369,1095,26.6,28.4,215
RT,A,391,1330,26.8,30.1,217
SS,I,193,185,12.1,14.9,158
RT,A,397,1100,22.1,28.8,219
RT,I,366,1115,27.1,21,215
RT,A,385,1400,30.3,33.3,211
RT,I,400,1175,27.6,32.6,234
SS,I,198,185,11.8,15.1,161
RT,A,365,970,25.9,31.6,208
SS,I,194,170,11.6,14,153
SS,I,195,175,12,15.6,152
SS,I,200,165,11.5,14.5,163
RT,I,384,1260,28.6,32.5,226
SS,I,159,110,9.9,11.1,125
SS,I,161,100,9.3,11.5,134
SS,I,191,190,12.3,14.8,162
CH,I,216,305,16,20.4,185
CH,I,256,510,18.8,23.3,212
SS,I,161,90,9.5,11.3,123
RT,A,396,1195,27,23.8,228
RT,I,391,1035,27.9,33.1,221
SS,I,160,90,8.8,11.4,131
SS,I,183,160,12.7,14.6,143
SS,I,156,85,9.7,11,129
RT,I,393,1155,28.3,30.9,223
RT,I,397,1260,27.8,32.9,232
SS,I,159,95,8.9,10.4,125
CH,I,255,440,18.6,22.8,214
SS,I,197,175,10,14.9,150
CH,I,218,295,16.1,19.4,183
SS,I,196,160,12.6,14.5,158
RT,I,384,1010,26.8,31.1,230
RT,I,385,990,26,29.6,225
SS,I,181,150,11.4,14.3,141
CH,I,225,300,16,20.1,183
RT,I,379,945,24.5,31.3,224
SS,I,201,188,11.7,14.9,162
SS,I,161,95,10.6,11.5,131
CH,A,230,330,15.7,19.4,188
SS,I,159,95,9.9,11.2,132
RT,I,367,970,26.4,30.5,215
RT,I,396,1240,28.9,32.8,237
SS,I,157,105,10,11.5,133
SS,I,191,165,11.5,14.9,156
SS,I,191,170,12.1,15.1,163
SS,I,168,100,10.2,11.9,134
RT,I,428,1290,28.4,33.9,253
CH,A,252,470,19.5,28.4,211
SS,A,192,175,11.7,14.2,160
SS,A,195,195,13.6,14,158
CH,A,233,335,16.3,21.3,187
RT,A,364,1150,26.1,28.2,196
RT,I,370,960,25.4,30.4,217
RT,I,400,1130,28.3,29.4,227
RT,I,375,925,25.4,28.6,220
RT,I,398,1205,27.6,33.4,227
RT,I,385,1040,27.2,31.5,238
SS,I,156,100,9.9,11.2,122
CH,I,230,335,16.3,19.7,201
CH,I,220,335,16.2,20,185
SS,I,163,105,10.3,11.7,137
RT,I,376,860,25.6,30,220
RT,I,360,935,25.8,30,212
RT,A,372,1010,24.3,29,197
RT,I,400,1285,29.7,33.5,230
SS,A,194,210,13,14.5,147
RT,I,370,830,23.6,27.8,233
SS,I,160,95,10.2,11.2,135
RT,I,403,1350,28,32.8,140
RT,I,375,1010,25,30.8,218
RT,I,373,960,27.7,32.5,222
RT,I,385,1370,26.4,29.2,233
SS,I,143,170,12.8,13.9,159
SS,I,162,100,8.7,11.4,136
RT,I,392,1250,28.6,32.9,222
RT,I,372,915,24.7,28.2,203
RT,I,375,850,25,28,218
RT,I,415,1285,29.4,34,242
SS,A,161,95,9.8,11.7,129
RT,A,380,1005,27,31.6,205
RT,A,411,1220,28.1,32.7,236
SS,A,161,95,9.6,12.4,121
SS,I,165,100,9.8,12,134
RT,I,393,1265,28.3,32.7,233
RT,I,370,1020,24.6,30,211
CH,A,230,360,16,22.1,186
RT,I,365,895,24.5,28.9,217
RT,I,371,1160,25.7,28.4,218
RT,I,400,1585,29,33.8,241
RT,A,382,1140,24.9,31.6,218
RT,A,371,1115,25.3,29.2,208
RT,A,370,1145,25.4,30.2,212
SS,A,194,185,12.8,14.8,152
RT,A,347,990,25.3,29.8,203
SS,I,195,165,11.7,14.5,153
RT,A,392,1030,26.3,28.1,196
CH,I,220,320,15.5,19.5,184
SS,I,193,105,13,15.6,156
RT,I,365,990,26.4,30,217
RT,A,387,1065,28,32.7,212
RT,I,400,1050,26.1,29.7,237
RT,I,362,840,23.2,26.1,206
SS,I,198,190,12.2,15.8,158
SS,I,190,200,12.7,15,157
SS,I,197,185,12.8,15.6,157
RT,A,370,1000,26.9,31.4,201
SS,I,200,185,12.8,15.2,158
RT,A,360,1325,26.2,30.6,224
RT,A,366,945,25.3,27.2,199
RT,A,402,1350,28.7,31,219
RT,I,366,805,23.5,25.7,217
RT,I,380,1525,26,27.6,224
SS,I,190,175,12.7,15.4,150
RT,I,360,790,21.9,27.6,211
RT,I,369,860,25.2,28,207
RT,A,199,1290,28.7,32.1,222
